COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 13/06/2025 

DATOS DISPONIBLES EN LA BASE DE DATOS A: JUNE DE 2025; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 2034 
 NOMBRE    : MEXICALI (SMN) 
 ESTADO    : BAJA CALIFORNIA 
 MUNICIPIO : MEXICALI 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 32.55 ° 
 LONGITUD  : -115.4666667 ° 
 ALTITUD   : 3 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1930	23.1	0	16.7	30.2	11.4	3.8	0	0	0	0	0	0	85.2	7.1	12
1931	7.6	25.4	0	18	0	43.2	0	10.4	22.9	22.9	63.5	20.3	234.2	19.5	12
1932	0	35.6	0	0	0	0	0	0.1	0	44.5	0	33	113.2	9.4	12
1933	88.9	0	9	11.9	0	0	0	12.7	0	61	10.2	0	193.7	16.1	12
1934	0	0	53.3	0	0	0	0	0	0	0	0	73.7	127	10.6	12
1935	12.2	22.9	0	0	0	0	0	0	0	0	9.6	14.3	59	4.9	12
1936	71.1	33	0	0	0	0	0	10	0	30	44.7	3	191.8	16	12
1937	20	0	7.5	0	0	0	0	0	38.5	0	0	30	96	8	12
1938	0	21.5	5	0	0	0	0	45	0	0	0	35	106.5	8.9	12
1939	52	10.5	0	25	0			0			2.5	2	92	11.5	8
1944		20.3					0	0			9.5	16.5	46.3	9.3	5
1945	16.9	2.5	1.4	1	0								21.8	4.4	5
1947											2.5	2	4.5	2.2	2
1948	0	0	0	0	0	28.5	0	0	0	26.5	0	10.5	65.5	5.5	12
1949	25.5	0	0	0	0	0	0	0	20.5	0	0	4	50	4.2	12
1950	0	5.5	0	0	0	0	2.5	0	0	0	0	2.5	10.5	0.9	12
1951	3.5	0	0	2.5	0	0	2.5	17	0	0	6.5	9.5	41.5	3.5	12
1952	11.5	5.5	3.5	7.5	0	0	0	0	2.5	0	2	2.8	35.3	2.9	12
1953	0.2	0.5	7	0	0	0	0	0	0	0	1	0	8.7	0.7	12
1954	3.5	0.2	3.2	0	0	0	8	0	0.5	0	0	1.5	16.9	1.4	12
1955	20.3	0	0	0	0	0	5	29.8	0	0	0	2.8	57.9	4.8	12
1956	3.6	0	0	0	0.3	0	1	0	0	0	0		4.9	0.4	11
1957	6	0.1	3.5	0.6	0.3	0	0	37	0	27	0.3	1.9	76.7	6.4	12
1958	1	22	2.5	5.5	3	1.5	0.1	0	0.3	0.3	1.7	0	37.9	3.2	12
1959	2	2	0	15	0	0	0	3.4	78	45	0	17.5	162.9	13.6	12
1960	9.8	0.7	10	0	0	0	0	2.6	0	0	3	0.5	26.6	2.2	12
1961	2.2	0	0.6	0	0	0	0.8	32.6	0	0	0.2	14.1	50.5	4.2	12
1962	31	1	3.4	0	0	0	0	0	0.8	0	0	32	68.2	5.7	12
1963	3.5	2.5	2.5	0	0	0	0	4.8	38.5	4	15.5	0	71.3	5.9	12
1964	0	2.5	0.5	0	0	1.5	0.5	0	0.4	0.6	7.5	1.5	15	1.2	12
1965	3	6.5	1	4.5	0	0	0	7.5	0	0	3	32	57.5	4.8	12
1966	6.9	7	2.5	0	0	0	5.5	0	0	17		0	38.9	3.5	11
1967	1	0	0	0	0	0	0	3.5	36.5	0	24.3	10	75.3	6.3	12
1968	0	2.5	6.2	0	0	0	0.5	0	0	0.5	0.5	0.5	10.7	0.9	12
1969	12	1	0.5	0	0.1	0	4.2	0	26	0.5	25.5	3	72.8	6.1	12
1970	0.5	19.5	11.5	0	0	0	0	0	0	0	0	0	31.5	2.6	12
1971	0	0	0	1.5	0	0	0.5	22.5	11	4	0	0.4	39.9	3.3	12
1972	0	0	0	0		3.5	0	2.8	0	42	8.5	0	56.8	5.2	11
1973	0	65	5.5	0	0	0	0	10.5	0	0	5	0	86	7.2	12
1974	17.5	0	3	0	0	0	1.2	0	8	26	0	5	60.7	5.1	12
1975	0	0	2	11	0	0	9.5	8	2	0		8	40.5	3.7	11
1976	0	13	0	8	8	0	1	0	52	1	9	1.8	93.8	7.8	12
1977	1	0	0.5	0	0	0	0	40.5	0	0	0	13	55	4.6	12
1978	9.5	10	0	0	0	0	0	0	0	8	13.5	6.5	47.5	4	12
1979	17.5	0	7.5	0	1.5	0	25	58	0	0	1	1	111.5	9.3	12
1980		14.5	7	0	3	0	0	0					24.5	3.5	7
1981	17.5	1.5	7	0	1.5	1	0	26.3	1	0	3	0	58.8	4.9	12
1982	3.8	1.6	19	0	0	0	0	18.5	7	0	0	61	110.9	9.2	12
1983	0	46	28.5	0	0	0	0	39.5	1	1	0	15	131	10.9	12
1984	5.5	0	0	10	0	0	11	10	0	0	8.2	12.5	57.2	4.8	12
1985	0	1	0	0	0	0	0	0	5.5	6.5	8.5	20	41.5	3.5	12
1986	1.5	6	3.5	0	0	0		1	1.5	27.5	4	2.5	47.5	4.3	11
1987	2	7.5	0	0	0	0	0	0	1.5	5	1	6.5	23.5	2	12
1988	3.5	3.5	1.5	2.5	0	0	0	30.8	0	2.2	0	0	44	3.7	12
1989	14	0	1.9	0	0	0	4.4	3.1	0	0	0	0	23.4	2	12
1990	0.8	0	0	0	2.2	1	0	12.1	17.1	0	0	0	33.2	2.8	12
1991	9.8	8.7	5	0	0	0	0	6.2	1.7	0	6.2	17.2	54.8	4.6	12
1992	33.8	11.3	20.6	4.8	1.7	0	0	7.9	0	73.8	0	16.6	170.5	14.2	12
1993	28	3.6	0	0	0	0	0	0	0	1	19	0	51.6	4.3	12
1994	1.5	5.8	4.5	0	3.1	0	0	0	15	0	3	17.3	50.2	4.2	12
1995	17.3	2.2	1	2.9	0	0	0	0.3	0	0	0	1.3	25	2.1	12
